No;Nama Vendor;Alat/Teknologi;Provinsi;Kab./Kota;Ketersediaan Alat;Nomor Registrasi;Tanggal Terbit;Masa Berlaku
1;PT Enviro Meditech Pratama;Integrated Sterilizer & Shredder ISS AC-575;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;001/TRL/Reg-2/KLHK;18 Maret 2022;3 tahun
2;PT Enviro Meditech Pratama;Integrated Sterilizer & Shredder 25 L;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;002/TRL/Reg-2/KLHK;18 Maret 2022;3 tahun
3;PT Beta Medical;Sterilizer, SW 440;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;003/TRL/Reg-2/KLHK;17 Juni 2019;3 tahun
4;PT Beta Medical;Sterilizer, SW 250;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;004/TRL/Reg-2/KLHK;17 Juni 2019;3 tahun
5;PT. Dimensi Barumas Persada;Aqua Power (Enhanced Plasma Filter);Riau;Pekanbaru;Menjangkau seluruh wilayah Indonesia;005/TRL/Reg-1/KLHK;05-Sep-16;3 tahun
6;PT Lumbung Teknologi Envirotama;Aquarator;DKI Jakarta;Jakarta Utara;Menjangkau seluruh wilayah Indonesia;006/TRL/Reg-1/KLHK;10 Oktober 2016;3 tahun
7;PT. Equipindo Berkah Perkasa;Peatsorb;Banten;Kota Tangerang Selatan;Menjangkau seluruh wilayah Indonesia;007/TRL/Reg-1/KLHK;10 Oktober 2016;3 tahun
8;PT. Flamoff Indonesia Persada;Flamoff Pump & Extinguisher (950 ml);DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;008/TRL/Reg-2/KLHK;30 Desember 2019;3 tahun
9;PT. Flamoff Indonesia Persada;Flamoff Spritz & Extinguisher (450 ml);DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;009/TRL/Reg-2/KLHK;30 Desember 2019;3 tahun
10;PT. Flamoff Indonesia Persada;Flamoff Throw & Extinguisher (650 ml);DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;010/TRL/Reg-2/KLHK;30 Desember 2019;3 tahun
11;PT Hospi Niaga Utama;Tesalys “Steriplus”;Jawa Barat;Kota Bandung;Menjangkau seluruh wilayah Indonesia;011/TRL/Reg-2/KLHK;7 Oktober 2019;3 tahun
12;CV. Abriantama Indosa;Incinerator Type ET-100;Jawa Timur;Kabupaten Nganjuk;Menjangkau seluruh wilayah Indonesia;012/TRL/Reg-2/KLHK;27-Nov-19;3 tahun
13;Pusat Penelitian dan Pengembangan Hasil Huan;Alat Penering Tenaga Surya;Jawa Barat;Kota Bogor;;013/TRL/Reg-1/KLHK;29-Nov-16;3 tahun
14;BALAI PENELITIAN DAN PENGEMBANGAN TEKNOLOGI HASIL HUTAN BUKAN KAYU;Penurunan Kadar Air Pada Madu;Nusa Tenggara Barat;Kabupaten Lombok Barat;;014/TRL/Reg-1/KLHK;29 Desember 2016;3 tahun
15;BALAI PENELITIAN DAN PENGEMBANGAN TEKNOLOGI HASIL HUTAN BUKAN KAYU;Simpori pada Gaharu;Nusa Tenggara Barat;Kabupaten Lombok Barat;;015/TRL/Reg-1/KLHK;29 Desember 2016;3 tahun
16;PT WASILAH ENERDI RAHARJA;Microwave Disinfection Units;Jawa Barat;Kota Bandung;Menjangkau seluruh wilayah Indonesia;016/TRL/Reg-1/KLHK;29 Desember 2016;3 tahun
17;PT. BAHAGIA JAYA SEJAHTERA;Mesin Pencacah Plastik;Jawa Barat;Kabupaten Bogor;Menjangkau seluruh wilayah Indonesia;017/TRL/Reg-1/KLHK;14 Februari 2017;3 tahun
18;PT. ADDNI TECHNOLOGY;Incinerator Static dan Rotary;Jawa Barat;Kabupaten Bandung;Menjangkau seluruh wilayah Indonesia;018/TRL/Reg-1/KLHK;14 Februari 2017;3 tahun
19;PT. Lax Acon Indonesia;LAX MH 779  (Mesin Flushing AC Mobil);DKI Jakarta;Jakarta Utara;Menjangkau seluruh wilayah Indonesia;019/TRL/Reg-2/KLHK;04-Apr-22;3 tahun
20;PT. Centra Rekayasa Enviro;Incinerator type Reciprocating Grate;Jawa Barat;Kota Bandung;Menjangkau seluruh wilayah Indonesia;020/TRL/Reg-2/KLHK;24 Februari 2020;3 tahun
